
 记录时间：2016-08-05 10:48:28,366 -描述：Sheet1$
 记录时间：2016-08-05 10:48:28,385 -描述：Sheet2$
 记录时间：2016-08-05 10:48:28,385 -描述：Sheet3$
 记录时间：2016-08-05 10:49:19,472 -描述：TABLE_CATALOG
 记录时间：2016-08-05 10:49:19,493 -描述：TABLE_SCHEMA
 记录时间：2016-08-05 10:49:19,493 -描述：TABLE_NAME
 记录时间：2016-08-05 10:49:19,493 -描述：TABLE_TYPE
 记录时间：2016-08-05 10:49:19,493 -描述：TABLE_GUID
 记录时间：2016-08-05 10:49:19,493 -描述：DESCRIPTION
 记录时间：2016-08-05 10:49:19,493 -描述：TABLE_PROPID
 记录时间：2016-08-05 10:49:19,493 -描述：DATE_CREATED
 记录时间：2016-08-05 10:49:19,493 -描述：DATE_MODIFIED
 记录时间：2016-08-05 10:49:19,493 -描述：Sheet1$
 记录时间：2016-08-05 10:49:19,493 -描述：Sheet2$
 记录时间：2016-08-05 10:49:19,493 -描述：Sheet3$
 记录时间：2016-08-05 14:58:52,125 -描述：Sheet1$
 记录时间：2016-08-05 14:58:52,154 -描述：Class  
 记录时间：2016-08-05 14:58:52,154 -描述：CompanyName  
 记录时间：2016-08-05 14:58:52,154 -描述：MAC  
 记录时间：2016-08-05 14:58:52,154 -描述：Man  
 记录时间：2016-08-05 14:58:52,154 -描述：Tel  
 记录时间：2016-08-05 14:58:52,154 -描述：VideoID  
 记录时间：2016-08-05 14:58:52,154 -描述：X  
 记录时间：2016-08-05 14:58:52,154 -描述：Y  
 记录时间：2016-08-05 14:58:52,154 -描述：Sheet2$
 记录时间：2016-08-05 14:58:52,156 -描述：F1  
 记录时间：2016-08-05 14:58:52,156 -描述：Sheet3$
 记录时间：2016-08-05 14:58:52,158 -描述：F1  
 记录时间：2016-08-05 15:34:27,226 -描述：程序启动成功！
 记录时间：2016-08-05 15:35:13,466 -描述：程序启动成功！
 记录时间：2016-08-05 16:11:56,487 -描述：程序启动成功！
 记录时间：2016-08-05 16:12:41,906 -描述：程序启动成功！
 记录时间：2016-08-05 16:12:53,153 -描述：Sheet1$
 记录时间：2016-08-05 16:12:53,961 -描述：送检人通讯地址  
 记录时间：2016-08-05 16:12:53,961 -描述：送检人姓名  
 记录时间：2016-08-05 16:12:53,961 -描述：送检时间  
 记录时间：2016-08-05 16:12:53,961 -描述：备注  
 记录时间：2016-08-05 16:12:53,961 -描述：民族  
 记录时间：2016-08-05 16:12:53,961 -描述：性别  
 记录时间：2016-08-05 16:12:53,961 -描述：户籍地址  
 记录时间：2016-08-05 16:12:53,961 -描述：居住地址  
 记录时间：2016-08-05 16:12:53,961 -描述：联系电话  
 记录时间：2016-08-05 16:12:53,961 -描述：涉案名称  
 记录时间：2016-08-05 16:12:53,961 -描述：涉案性质  
 记录时间：2016-08-05 16:12:53,961 -描述：实验室编号  
 记录时间：2016-08-05 16:12:53,962 -描述：身份证号  
 记录时间：2016-08-05 16:12:53,962 -描述：人员类型  
 记录时间：2016-08-05 16:12:53,962 -描述：人员姓名  
 记录时间：2016-08-05 16:12:53,962 -描述：委托单位行政区划  
 记录时间：2016-08-05 16:12:53,962 -描述：出生日期  
 记录时间：2016-08-05 16:12:53,962 -描述：Sheet2$
 记录时间：2016-08-05 16:12:54,012 -描述：F1  
 记录时间：2016-08-05 16:12:54,012 -描述：Sheet3$
 记录时间：2016-08-05 16:12:54,070 -描述：F1  
